run,entry,type,status
60,81445,Binary,True
60,81532,Other,False
60,81542,Other,False
60,81621,Binary,True
60,81627,Other,False
60,81665,Other,False
60,81757,Other,False
60,81781,Binary,True
60,81797,Other,False
60,81893,Other,False
60,82016,Binary,True
60,82021,Other,False
60,82023,Other,False
60,82113,Other,False
60,82162,Binary,True
60,82201,Other,False
60,82341,Other,False
60,82511,Other,False
60,82559,Other,False
60,82616,Other,False
60,82793,Other,False
60,82857,Binary,True
60,82984,Other,False
60,83004,Other,False
60,83101,Other,False
60,83113,Other,False
60,83488,Other,False
60,83513,Other,False
60,83620,Other,False
60,83732,Binary,True
60,83739,Binary,True
60,83984,Multi,False
60,84014,Other,False
60,84039,Other,False
60,84067,Other,False
60,84147,Other,False
60,84322,Other,False
60,84484,Other,False
60,84704,Other,False
60,84939,Other,False
60,84945,Other,False
60,85095,Multi,True
60,85125,Multi,False
60,85145,Binary,False
60,85209,Other,False
60,85752,Other,False
60,85770,Other,False
60,85809,Other,False
60,85971,Other,False
60,86259,Other,False
60,86264,Other,False
60,86305,Other,False
60,86864,Other,False
60,87036,Binary,True
60,87070,Multi,True
60,87126,Other,False
60,87191,Multi,True
60,87319,Binary,True
60,87612,Binary,True
60,87713,Binary,True
60,87851,Binary,True
60,88050,Other,False
60,88137,Other,False
60,88138,Binary,False
60,88475,Other,False
60,88544,Other,False
60,88565,Binary,True
60,88672,Binary,True
60,88689,Binary,True
60,88778,Other,False
60,88882,Binary,True
60,88895,Other,False
60,88912,Binary,True
60,88973,Multi,True
60,88988,Other,False
60,89040,Binary,True
60,89065,Other,False
60,89276,Other,False
60,89302,Other,False
60,89575,Other,False
60,89597,Other,False
60,89619,Other,False
60,89632,Other,False
60,89935,Other,False
60,89952,Other,False
60,89972,Other,False
60,89987,Other,False
60,90159,Other,False
60,90218,Other,False
60,90269,Other,False
60,90524,Other,False
60,90605,Other,False
60,90639,Other,False
60,90724,Multi,True
60,90855,Binary,True
60,90916,Other,False
60,91018,Other,False
60,91116,Binary,True
60,91190,Other,False
60,91372,Other,False
60,91449,Other,False
60,91496,Other,False
60,91602,Other,False
60,91651,Other,False
60,91714,Other,False
60,91767,Other,False
60,91779,Other,False
60,91916,Other,False
60,92033,Other,False
60,92057,Other,False
60,92123,Other,False
60,92206,Other,False
60,92296,Other,False
60,92372,Other,False
60,92736,Other,False
60,92816,Other,False
60,92828,Binary,True
60,92845,Other,False
60,92959,Other,False
60,93082,Other,False
60,93141,Other,False
60,93240,Multi,False
60,93251,Other,False
60,93470,Other,False
60,93523,Other,False
60,93588,Binary,True
60,93652,Binary,True
60,93695,Other,False
60,94109,Other,False
60,94122,Other,False
60,94217,Other,False
60,94333,Other,False
60,94400,Multi,True
60,94436,Binary,True
60,94540,Other,False
60,94689,Other,False
60,94991,Other,False
60,95086,Other,False
60,95091,Other,False
60,95190,Other,False
60,95502,Binary,True
60,95551,Other,False
60,95674,Multi,True
60,95869,Multi,True
60,95887,Other,False
60,96035,Other,False
60,96052,Binary,True
60,96135,Other,False
60,96395,Other,False
60,96603,Binary,True
60,96682,Binary,True
60,96841,Binary,True
60,96988,Other,False
60,97107,Other,False
60,97192,Other,False
60,97209,Other,False
60,97223,Other,False
60,97259,Other,False
60,97280,Binary,True
60,97302,Other,False
60,97327,Binary,True
60,97460,Other,False
60,97497,Other,False
60,97744,Other,False
60,97907,Other,False
60,97932,Binary,True
60,97937,Other,False
60,97969,Other,False
60,97972,Binary,True
60,97993,Other,False
60,98043,Binary,True
60,98310,Other,False
60,98419,Other,False
60,98483,Other,False
60,98504,Binary,True
60,98536,Other,False
60,98622,Binary,True
60,98650,Other,False
60,98652,Binary,True
60,98662,Multi,True
60,98706,Other,False
60,98855,Binary,True
60,98941,Binary,True
60,99200,Other,False
60,99296,Other,False
60,99380,Other,False
60,99515,Other,False
60,99591,Multi,False
60,99762,Binary,True
60,99790,Other,False
